#ID B V RA DEC
202     18.519  17.866 00:23:37.93 +85:22:29.70
203     21.874  21.207 00:24:09.40 +85:16:21.40
206     22.218  20.520 00:23:15.21 +85:27:08.20
208     20.580  18.945 00:24:26.03 +85:13:13.60
209     17.101  16.226 00:24:24.88 +85:13:30.10
210     16.629  15.996 00:24:00.97 +85:18:25.40
211     20.568  19.695 00:24:19.45 +85:14:45.50
212     99.999  21.159 00:24:21.78 +85:14:32.50
214     15.542  14.013 00:25:08.55 +85:04:48.60
215     22.102  20.651 00:24:32.99 +85:12:40.90
220     16.257  15.629 00:23:25.55 +85:26:45.20
221     20.965  20.244 00:23:56.54 +85:20:49.20
223     20.037  18.957 00:25:15.43 +85:04:28.60
225     20.992  19.565 00:24:52.70 +85:09:50.30
226     21.216  20.602 00:23:29.58 +85:26:41.10
228     18.183  17.553 00:25:15.36 +85:05:15.80
231     17.419  16.276 00:24:05.60 +85:20:24.70
233     17.676  17.002 00:24:19.41 +85:17:49.30
234     21.994  20.332 00:24:31.14 +85:15:41.10
236     18.526  17.994 00:23:52.70 +85:23:33.50
237     19.363  18.713 00:24:14.87 +85:19:14.70
238     16.797  15.891 00:24:33.54 +85:15:34.30
240     20.302  19.736 00:25:23.42 +85:05:11.00
241     21.276  19.796 00:24:34.97 +85:15:38.20
242     17.689  16.798 00:25:19.44 +85:06:28.80
243     16.961  16.306 00:24:35.30 +85:15:55.70
244     20.488  19.012 00:25:27.13 +85:04:56.20
246     22.221  20.584 00:24:32.53 +85:16:46.80
247     19.890  18.744 00:23:38.09 +85:27:34.20
248     21.344  20.589 00:23:34.95 +85:28:14.70
249     21.453  20.062 00:24:57.55 +85:11:48.90
250     16.694  15.933 00:25:36.79 +85:03:11.80
254     19.173  18.258 00:24:52.95 +85:12:59.70
255     15.919  15.069 00:24:21.78 +85:19:30.80
256     16.691  15.984 00:24:47.17 +85:14:17.40
259     15.807  15.078 00:24:01.62 +85:23:56.80
260     13.243  12.749 00:24:18.61 +85:20:37.60
261     20.412  19.605 00:25:18.32 +85:08:13.00
262     21.636  21.077 00:25:31.91 +85:05:18.50
263     22.481  20.859 00:23:31.07 +85:30:05.50
264     21.268  19.768 00:25:44.33 +85:02:38.20
265     21.077  19.450 00:25:50.06 +85:01:30.50
266     18.059  17.419 00:24:27.78 +85:19:23.50
268     21.587  19.863 00:24:42.08 +85:16:52.70
271     20.783  19.527 00:24:45.15 +85:16:20.20
